,state_code,num_dist_in_netwk,num_dist_in_state,perc_dist_in_netwk,num_students_in_netwk,num_schools_in_netwk
0,AL,131,135,0.97037037037037037037,697163,1280
1,AR,235,235,1.00000000000000000000,473462,991
2,CT,156,162,0.96296296296296296296,462142,914
3,DE,17,17,1.00000000000000000000,112978,175
4,GA,179,180,0.99444444444444444444,1713710,2195
5,IA,226,336,0.67261904761904761905,272577,789
6,KY,173,173,1.00000000000000000000,673469,1279
7,ME,184,192,0.95833333333333333333,168619,551
8,MO,356,517,0.68858800773694390716,591508,1397
9,MS,96,146,0.65753424657534246575,252008,500
10,NC,115,115,1.00000000000000000000,1460970,2431
11,ND,175,175,1.00000000000000000000,107440,471
12,NE,245,245,1.00000000000000000000,315348,943
13,RI,35,36,0.97222222222222222222,124317,257
14,SC,83,84,0.98809523809523809524,728039,1118
15,SD,150,152,0.98684210526315789474,133665,646
16,UT,41,41,1.00000000000000000000,570092,827
17,WA,268,298,0.89932885906040268456,940415,1790
18,WI,253,422,0.59952606635071090047,279934,870
19,WV,55,55,1.00000000000000000000,272769,685
20,WY,48,48,1.00000000000000000000,92947,353
