,state_code,scalable,m50_circs,m100_circs,m500_circs,g1_circs,g2_circs,g5_circs,g10_circs
0,AR,scalable,0,1,7,80,67,11,11
1,CT,scalable,0,0,0,1,0,0,0
2,DE,scalable,0,15,0,16,8,0,0
3,GA,scalable,0,5,16,7,3,0,1
4,IA,scalable,0,7,6,121,1,0,2
5,KY,scalable,0,6,50,56,14,7,2
6,ME,scalable,0,29,26,37,6,0,2
7,MO,scalable,26,65,43,57,1,10,7
8,MS,scalable,0,0,6,1,0,0,0
9,ND,scalable,0,0,0,51,0,0,6
10,NE,scalable,5,42,10,55,12,0,4
11,RI,scalable,0,0,6,31,1,0,4
12,SC,scalable,0,0,0,1,0,0,0
13,SD,scalable,0,2,70,95,0,10,3
14,UT,scalable,0,0,0,18,0,0,14
15,WA,scalable,0,66,68,80,28,15,7
16,WI,scalable,0,12,1,229,7,2,10
17,WV,scalable,0,0,3,20,19,6,2
18,WY,scalable,0,0,0,32,1,0,8
19,DE,unscalable,0,0,0,0,12,0,0
20,GA,unscalable,0,0,0,0,1,0,0
21,IA,unscalable,0,0,0,1,0,0,0
22,ME,unscalable,0,14,0,84,0,0,0
23,MO,unscalable,0,0,0,68,0,0,3
24,ND,unscalable,31,1,13,61,0,0,2
25,SD,unscalable,0,0,0,1,0,0,0
26,UT,unscalable,0,0,0,1,0,0,1
27,WA,unscalable,0,0,0,1,0,1,1
28,WI,unscalable,3,0,0,25,0,0,8
29,WY,unscalable,0,0,0,2,0,0,0
