,state_code,stud_pop,district_count,tengig_lines,onegig_lines,tot_cost
0,AL,735819,135,115,72,363171
1,AR,473105,233,63,126,576828
2,CT,477341,160,86,62,281034
3,DE,109400,16,15,6,42027
4,GA,1713710,179,226,80,576282
5,HI,171502,1,17,2,43677
6,IA,479510,303,52,152,200996
7,KY,673469,173,120,80,1058000
8,ME,138355,135,28,46,75070
9,MO,873453,499,121,136,451881
10,MS,479246,142,88,92,320640
11,NC,1460970,115,188,36,499092
12,ND,61356,93,6,8,23862
13,NE,315348,245,32,34,91950
14,RI,130071,36,27,12,76203
15,SC,738444,83,103,18,271443
16,SD,133665,149,17,18,51999
17,UT,570092,41,70,14,182770
18,WA,1015027,293,136,88,432792
19,WI,743405,386,104,174,320568
20,WV,272769,55,46,26,307732
21,WY,92449,47,14,22,59538
