state_code,year,district_counts,num_districts_meeting,pct_districts_meeting,pct_districts_meeting_rounded,num_districts_meeting_rounded
AL,2023,135,135.0,100.0,100.0,135.0
AR,2023,234,234.0,100.0,100.0,234.0
CT,2023,162,70.0,43.20987654320987,43.0,70.0
DE,2023,17,17.0,100.0,100.0,17.0
GA,2023,180,180.0,100.0,100.0,180.0
KY,2023,173,173.0,100.0,100.0,173.0
ME,2023,183,118.29281767955801,64.64088397790056,65.0,118.0
NC,2023,115,115.0,100.0,100.0,115.0
ND,2023,174,174.0,100.0,100.0,174.0
NE,2023,245,245.0,100.0,100.0,245.0
RI,2023,36,36.0,100.0,100.0,36.0
SC,2023,83,83.0,100.0,100.0,83.0
SD,2023,149,149.0,100.0,100.0,149.0
UT,2023,41,41.0,100.0,100.0,41.0
WA,2023,297,297.0,100.0,100.0,297.0
WV,2023,55,55.0,100.0,100.0,55.0
WY,2023,48,48.0,100.0,100.0,48.0
AK,2023,53,50.0,94.33962264150944,94.0,50.0
AZ,2023,208,178.0,85.57692307692307,86.0,178.0
CA,2023,931,878.0,94.30719656283566,94.0,878.0
CO,2023,178,159.0,89.32584269662921,89.0,159.0
FL,2023,67,59.0,88.05970149253731,88.0,59.0
IA,2023,330,269.0,81.51515151515152,82.0,269.0
ID,2023,114,89.0,78.0701754385965,78.0,89.0
IL,2023,850,708.0,83.29411764705881,83.0,708.0
IN,2023,289,267.0,92.38754325259517,92.0,267.0
KS,2023,286,237.0,82.86713286713287,83.0,237.0
LA,2023,69,63.0,91.30434782608695,91.0,63.0
MA,2023,293,252.0,86.00682593856655,86.0,252.0
MD,2023,24,19.0,79.16666666666666,79.0,19.0
MI,2023,538,403.0,74.90706319702602,75.0,403.0
MN,2023,329,283.0,86.01823708206688,86.0,283.0
MO,2023,515,423.0,82.13592233009709,82.0,423.0
MT,2023,299,230.0,76.92307692307693,77.0,230.0
NH,2023,163,130.0,79.75460122699386,80.0,130.0
NJ,2023,544,498.0,91.54411764705883,92.0,498.0
NM,2023,89,78.0,87.64044943820225,88.0,78.0
NV,2023,17,13.0,76.47058823529412,76.0,13.0
NY,2023,684,464.0,67.83625730994152,68.0,464.0
OH,2023,608,527.0,86.67763157894737,87.0,527.0
OK,2023,511,490.0,95.8904109589041,96.0,490.0
OR,2023,178,137.0,76.96629213483146,77.0,137.0
PA,2023,499,393.0,78.75751503006012,79.0,393.0
TN,2023,142,139.0,97.88732394366197,98.0,139.0
TX,2023,1023,954.0,93.25513196480938,93.0,954.0
VA,2023,132,112.0,84.84848484848484,85.0,112.0
VT,2023,56,51.0,91.07142857142857,91.0,51.0
WI,2023,419,402.0,95.94272076372316,96.0,402.0
AK,2019,53,4.0,7.547169811320755,8.0,4.0
AL,2019,135,12.0,8.88888888888889,9.0,12.0
AR,2019,234,230.0,98.29059829059828,98.0,230.0
AZ,2019,208,70.0,33.65384615384615,34.0,70.0
CA,2019,931,459.0,49.30182599355531,49.0,459.0
CO,2019,178,81.0,45.50561797752809,46.0,81.0
CT,2019,162,70.0,43.20987654320987,43.0,70.0
DE,2019,17,7.0,41.17647058823529,41.0,7.0
FL,2019,67,3.0,4.477611940298507,4.0,3.0
GA,2019,180,14.0,7.777777777777778,8.0,14.0
HI,2019,1,1.0,100.0,100.0,1.0
IA,2019,330,76.0,23.03030303030303,23.0,76.0
ID,2019,114,35.0,30.701754385964914,31.0,35.0
IL,2019,850,196.0,23.058823529411764,23.0,196.0
IN,2019,289,50.0,17.301038062283737,17.0,50.0
KS,2019,286,144.0,50.349650349650354,50.0,144.0
KY,2019,173,0.0,0.0,0.0,0.0
LA,2019,69,30.0,43.47826086956522,43.0,30.0
MA,2019,293,51.0,17.4061433447099,17.0,51.0
MD,2019,24,2.0,8.333333333333332,8.0,2.0
ME,2019,183,118.0,64.48087431693989,64.0,118.0
MI,2019,538,260.0,48.3271375464684,48.0,260.0
MN,2019,329,170.0,51.671732522796354,52.0,170.0
MO,2019,515,164.0,31.844660194174757,32.0,164.0
MS,2019,143,22.0,15.384615384615385,15.0,22.0
MT,2019,299,155.0,51.83946488294314,52.0,155.0
NC,2019,115,1.0,0.8695652173913043,1.0,1.0
ND,2019,174,120.0,68.96551724137932,69.0,120.0
NE,2019,245,82.0,33.46938775510204,33.0,82.0
NH,2019,163,45.0,27.607361963190186,28.0,45.0
NJ,2019,544,150.0,27.573529411764707,28.0,150.0
NM,2019,89,33.0,37.07865168539326,37.0,33.0
NV,2019,17,9.0,52.94117647058824,53.0,9.0
NY,2019,684,243.0,35.526315789473685,36.0,243.0
OH,2019,608,107.0,17.598684210526315,18.0,107.0
OK,2019,511,287.0,56.16438356164384,56.0,287.0
OR,2019,178,87.0,48.87640449438202,49.0,87.0
PA,2019,499,186.0,37.27454909819639,37.0,186.0
RI,2019,36,3.0,8.333333333333332,8.0,3.0
SC,2019,83,18.0,21.686746987951807,22.0,18.0
SD,2019,149,144.0,96.64429530201343,97.0,144.0
TN,2019,142,32.0,22.535211267605636,23.0,32.0
TX,2019,1023,448.0,43.79276637341153,44.0,448.0
UT,2019,41,15.0,36.58536585365854,37.0,15.0
VA,2019,132,29.0,21.96969696969697,22.0,29.0
VT,2019,56,25.0,44.642857142857146,45.0,25.0
WA,2019,297,105.0,35.35353535353536,35.0,105.0
WI,2019,419,222.0,52.98329355608592,53.0,222.0
WV,2019,55,12.0,21.818181818181817,22.0,12.0
WY,2019,48,33.0,68.75,69.0,33.0
HI,2023,1,1.0,100.0,100.0,1.0
MS,2023,143,22.0,15.384615384615385,15.0,22.0
