state_code,district_counts,num_districts_not_meeting,num_districts_newly_meeting_extrap,num_students,num_students_not_meeting,num_students_newly_meeting_extrap,num_schools,num_schools_not_meeting,num_schools_newly_meeting_extrap,ia_monthly_cost_total,total_projected_cost3,total_projected_cost49,total_projected_cost74,already_spending_3,already_spending_49,already_spending_74,num_students_pp,num_students_not_meeting_pp,num_students_newly_meeting_extrap_pp,ia_monthly_cost_total_pp,total_projected_cost3_pp,total_projected_cost49_pp,total_projected_cost74_pp
AL,135,123,123,735819.0,709681.0,709681.0,1350.0,1299.0,1299.0,980216.2600000004,382926.769,406693.72270000004,437966.03020000004,True,True,True,736k,710k,710k,980k,383k,407k,438k
AR,234,3,3,473462.0,4684.0,4732.064038851773,991.0,9.0,9.110316649642492,1304327.304501982,431146.5619999999,446439.3846,466561.51959999994,True,True,True,473k,5k,5k,1.3M,431k,446k,467k
CT,162,92,92,486495.0,352850.0,352850.0,953.0,668.0,668.0,251428.90000000002,348211.245,363925.0335000002,384601.071,False,False,False,486k,353k,353k,251k,348k,364k,385k
DE,17,10,10,112978.0,72677.0,72677.0,175.0,116.0,116.0,126189.52908436432,54161.878,57811.0674,62612.6324,True,True,True,113k,73k,73k,126k,54k,58k,63k
GA,180,165,165,1714011.0,1542713.0,1542983.9656902277,2196.0,1940.0,1940.883826879271,856490.6015357765,705614.5610000005,760977.1163,833822.5838,True,True,True,1.7M,1.5M,1.5M,856k,706k,761k,834k
KY,173,173,173,673469.0,673469.0,673469.0,1279.0,1279.0,1279.0,935180.7400000005,424846.9189999999,446599.9677000001,475222.4001999997,True,True,True,673k,673k,673k,935k,425k,447k,475k
ME,183,64,64,173580.0,111584.0,111674.07011070111,563.0,282.0,283.0053475935829,171857.91222684507,278352.58000000025,283959.21400000004,291336.364,False,False,False,174k,112k,112k,172k,278k,284k,291k
NC,115,114,114,1460970.0,1292226.0,1292226.0,2431.0,2243.0,2243.0,1357234.0,535409.4700000001,582598.801,644690.0259999998,True,True,True,1.5M,1.3M,1.3M,1.4M,535k,583k,645k
ND,174,53,53,107440.0,25695.0,25801.385085563146,471.0,129.0,129.5501066098081,213559.41638542726,217779.43999999994,221249.7520000001,225815.952,False,False,False,107k,26k,26k,214k,218k,221k,226k
NE,245,161,162,315348.0,252242.0,253035.57466463503,943.0,677.0,683.5235546038543,373548.07,351582.74799999996,361768.48840000044,375170.7783999999,True,True,False,315k,252k,253k,374k,352k,362k,375k
RI,36,33,33,130071.0,124476.0,124476.0,266.0,254.0,254.0,237308.68,86933.621,91134.9143,96662.93179999998,True,True,True,130k,124k,124k,237k,87k,91k,97k
SC,83,65,65,738444.0,706272.0,706272.0,1134.0,1058.0,1058.0,403132.2518716577,303860.6439999999,327712.3852,359096.2551999999,True,True,True,738k,706k,706k,403k,304k,328k,359k
SD,149,5,5,133665.0,27661.0,27661.0,646.0,57.0,57.0,265986.285,202616.91500000004,206934.29450000005,212615.05699999997,True,True,True,134k,28k,28k,266k,203k,207k,213k
UT,41,22,25,570092.0,384698.0,440418.1253659888,827.0,518.0,601.6657303370787,507297.50244731887,207274.6919999999,225688.6636,249917.5736,True,True,True,570k,385k,440k,507k,207k,226k,250k
WA,297,190,191,1069712.0,920740.0,921267.072191563,2004.0,1639.0,1643.921921921922,712941.5076884734,641955.3119999996,676507.0096000002,721969.7696000005,True,True,False,1.1M,921k,921k,713k,642k,677k,722k
WV,55,43,43,272769.0,219922.0,219922.0,685.0,552.0,552.0,425663.11999999994,149211.21899999992,158021.6577,169614.34019999998,True,True,True,273k,220k,220k,426k,149k,158k,170k
WY,48,15,15,92947.0,39292.0,39292.0,353.0,138.0,138.0,134143.08,87240.297,90242.48509999999,94192.73260000002,True,True,True,93k,39k,39k,134k,87k,90k,94k
