,consortium_id,district_id,subgroup,num_students,model_consortia
0,,924404,peer deal,286,False
1,,894438,peer deal,1597,False
2,1031023,883301,peer deal,1192,True
3,968787,969351,peer deal,791,True
4,952119,952215,peer deal,1407,True
5,,901277,peer deal,2571,False
6,1031023,882135,increase budget,1628,True
7,,946386,increase budget,2207,False
8,,946221,peer deal,5992,False
9,,919901,peer deal,1555,False
10,,1089716,increase budget,60,False
11,,882767,peer deal,300,False
12,883432,883409,peer deal,1436,True
13,968787,969908,peer deal,542,True
14,,900691,peer deal,991,False
15,911310,911301,peer deal,917,True
16,,901317,increase budget,2517,False
17,,911002,peer deal,5491,False
18,,969066,peer deal,1129,False
19,,953649,increase budget,1194,False
20,1031023,883297,peer deal,3379,True
21,937433,937581,increase budget,551,True
22,1038921,953746,peer deal,1983,True
23,1031023,883197,peer deal,3151,True
24,,882337,peer deal,1446,False
25,,937484,increase budget,181,False
26,1031023,883454,peer deal,1189,True
27,,911332,peer deal,1854,False
28,,970192,peer deal,69,False
29,937710,937517,peer deal,3316,False
30,,911288,increase budget,1869,False
31,,915465,peer deal,4593,False
32,,901239,peer deal,2861,False
33,1031023,883653,peer deal,1704,True
34,,883461,increase budget,1245,False
35,,919984,peer deal,2943,False
36,937448,937605,increase budget,203,False
37,,901605,peer deal,302,False
38,,924114,peer deal,67,False
39,,922637,peer deal,1112,False
40,,901000,peer deal,1116,False
41,,882787,peer deal,387,False
42,,919580,peer deal,1626,False
43,,901395,peer deal,1335,False
44,,882732,peer deal,659,False
45,1041650,953746,peer deal,1983,True
46,954295,953746,peer deal,1983,True
47,1031023,883253,peer deal,1059,True
48,1031023,884074,peer deal,959,True
49,,919494,peer deal,255,False
50,1045733,946640,peer deal,8131,True
51,,900679,peer deal,1614,False
52,,946604,peer deal,8619,False
53,,882095,peer deal,517,False
54,,950106,peer deal,1057,False
55,,919835,peer deal,1395,False
56,952358,952308,peer deal,6052,True
57,937431,937613,peer deal,1063,True
58,1031023,883828,peer deal,310,True
59,,953909,peer deal,1118,False
60,,941186,peer deal,1268,False
61,937759,937675,increase budget,204,True
62,,969047,peer deal,100,False
63,,901733,peer deal,583,False
64,,950216,peer deal,4834,False
65,,954136,peer deal,2138,False
