,state_code,primary_sp,median_cost_per_mbps
0,AK,DRS Global,1600.00000000000000000000
1,AK,DRS Technical Services,1289.31250000000000000000
2,AK,TelAlaska Long Distance,1089.867500000000000000000
3,AK,Byte Networking,580.00000000000000000000
4,AK,GCI Communication,566.36283185840707964602
5,AK,Kwaan Wireless,290.00000000000000000000
6,AK,Cordova Telephone Cooperative,86.60000000000000000000
7,AK,Southeast Communications Services,80.00000000000000000000
8,AK,Alaska Telephone,66.15000000000000000000
9,AK,Matanuska Telephone Association,13.066200000000000000000
10,AK,Copper Valley Telephone Cooperative,6.8985000000000000000000
11,AK,Alaska Communications Systems Holdings,4.39400000000000000000
12,AK,,4.08800000000000000000
13,AK,City of Ketchikan,3.0061466666666666666667
14,AK,MTA Communications,0.75000000000000000000
15,AL,Uniti Fiber,5.8408614438943894389439
16,AL,CSC State and Local Solutions,3.9850900000000000000000
17,AL,,3.7521350000000000000000
18,AL,Information Transport Solutions,2.75000000000000000000
19,AL,Education Networks of America (ENA),2.42500000000000000000
20,AL,CONTACT NETWORK,2.20000000000000000000
21,AL,AT&T,1.4630800000000000000000
22,AL,Spectrum,0.81000000000000000000
23,HI,Spectrum,3.6299818461538461538407
24,KY,AT&T,9.257935260123331586400
25,KY,Spectrum,5.1122746695271270181818
26,KY,,3.0905720110576730327570
27,NC,NC Office of Information Technology Services,4.42899999999999999982
28,RI,Cox,6.6833400000000000001360
29,RI,Oshean,3.2333199999999999999600
30,RI,Lightower Fiber Networks,3.0656499999999999999997
31,TN,Education Networks of America (ENA),8.00000000000000000000
32,TN,,6.1975760869565217391304
33,TN,AT&T,2.0231920000000000000000
34,TN,City of,1.87500000000000000000
35,TN,Jackson Energy Authority,0.9766440000000000000000
36,WV,Hardy Telecommunications,7.5787125060032481709030
37,WV,Shentel Communications,5.8848822496324728974147
38,WV,Cebridge Telecommunications,3.7591853569503865909976
39,WV,Comcast,3.2993707870487482084944
40,WV,Frontier,3.2389757417741752177679
41,WV,,2.7005279011269609085222
42,WV,Lumos Networks,2.2109864113682273280283
